"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0555",35,17,"11-18","Male",35193,"10-19"
"S0556",79,18,"11-18","Female",27148,"10-19"
"S0557",14,23,"19-29","Female",6773,"20-29"
"S0558",63,50,"50-59","Female",74981,"50-59"
"S0559",4,20,"19-29","Female",3694,"20-29"
"S0560",28,19,"19-29","Male",8816,"10-19"
"S0561",28,49,"40-49","Female",21441,"40-49"
"S0562",1,53,"50-59","Female",2567,"50-59"
"S0563",4,49,"40-49","Male",6408,"40-49"
"S0564",3,71,"70-79","Female",13410,"70+"
"S0565",8,78,"70-79","Male",5905,"70+"
"S0566",22,67,"60-69","Male",8065,"60-69"
"S0567",14,20,"19-29","Female",9033,"20-29"
"S0568",0,48,"40-49","Male",1252,"40-49"
"S0569",5,22,"19-29","Male",3219,"20-29"
"S0570",12,16,"11-18","Male",14675,"10-19"
"S0571",27,46,"40-49","Male",28656,"40-49"
"S0572",11,14,"11-18","Male",11567,"10-19"
"S0576",2,20,"19-29","Male",2339,"20-29"
"S0578",3,18,"11-18","Female",2851,"10-19"
"S0579",75,91,"90-99","Male",69102,"70+"
"S0580",5,48,"40-49","Female",7440,"40-49"
"S0583",7,20,"19-29","Female",8832,"20-29"
"S0584",10,20,"19-29","Male",12844,"20-29"
"S0585",48,21,"19-29","Female",37108,"20-29"
"S0586",3,20,"19-29","Female",4466,"20-29"
"S0587",33,20,"19-29","Male",29768,"20-29"
"S0588",133,49,"40-49","Female",74889,"40-49"
"S0589",71,40,"40-49","Male",51706,"40-49"
"S0590",434,74,"70-79","Female",52818,"70+"
"S0591",3,83,"80-89","Male",4908,"70+"
"S0592",65,18,"11-18","Female",32602,"10-19"
"S0593",33,53,"50-59","Female",7632,"50-59"
"S0594",36,23,"19-29","Male",15197,"20-29"
