speaker	gender	age_group	count	total	rate_pmw
S0259	Female	40-49	7	15354	455.90725543832224
S0260	Female	80-89	2	6822	293.1691586045148
S0261	Male	40-49	91	62528	1455.3480040941658
S0262	Female	40-49	600	169739	3534.8387818945557
S0263	Female	30-39	4	3032	1319.2612137203166
S0264	Male	60-69	17	11066	1536.237122718236
S0265	Male	50-59	8	4428	1806.6847335140017
S0266	Female	60-69	25	17787	1405.5208860403663
S0267	Female	60-69	30	6414	4677.268475210477
S0268	Male	60-69	15	14070	1066.0980810234541
S0269	Male	70-79	1	9767	102.38558410975735
S0270	Female	60-69	23	8352	2753.831417624521
S0271	Female	60-69	9	9912	907.9903147699758
S0272	Female	50-59	37	7918	4672.8971962616815
S0273	Female	60-69	2	4397	454.85558335228563
S0274	Male	19-29	6	8796	682.1282401091405
S0275	Female	19-29	25	14643	1707.3004165813018
S0276	Female	19-29	5	10038	498.10719266786214
S0278	Male	60-69	108	106913	1010.1671452489406
S0280	Female	40-49	1	1025	975.609756097561
S0281	Male	60-69	51	46366	1099.9439244273822
S0282	Female	50-59	239	61133	3909.508775947524
S0283	Male	40-49	19	7217	2632.6728557572396
S0284	Male	60-69	12	4367	2747.8818410808335
S0285	Male	19-29	11	5921	1857.7942915048134
S0286	Male	11-18	9	3742	2405.130946018172
S0287	Female	50-59	16	5778	2769.1242644513673
S0288	Male	50-59	7	3478	2012.6509488211618
S0289	Female	60-69	31	11230	2760.4630454140697
S0290	Male	19-29	5	3725	1342.2818791946308
S0291	Female	19-29	2	3701	540.3944879762226
S0292	Female	80-89	2	4031	496.1548002976929
S0293	Female	19-29	37	8240	4490.291262135922
S0294	Male	70-79	9	5629	1598.8630307337005
S0295	Female	70-79	0	890	0
S0297	Male	19-29	24	7657	3134.3868355752907
S0298	Male	40-49	6	2098	2859.866539561487
S0299	Female	60-69	19	15774	1204.5137568150121
S0300	Female	40-49	11	10692	1028.80658436214
S0301	Male	70-79	38	6519	5829.114894922534
S0302	Female	50-59	5	3813	1311.3034356150013
S0303	Female	40-49	39	17420	2238.805970149254
S0304	Male	40-49	11	4578	2402.795980777632
S0305	Female	40-49	11	2496	4407.051282051282
S0306	Male	19-29	3	1044	2873.5632183908046
S0307	Female	30-39	7	3459	2023.7062734894478
S0308	Male	60-69	10	6419	1557.8750584203146
S0309	Male	70-79	20	8574	2332.633543270352
S0310	Female	60-69	20	5637	3547.986517651233
S0311	Female	30-39	1	2371	421.76296921130324
S0312	Male	30-39	2	1379	1450.3263234227702
S0313	Female	19-29	2	3093	646.6214031684449
S0314	Female	60-69	13	7475	1739.1304347826087
S0315	Female	30-39	18	15766	1141.697323354053
S0316	Female	30-39	16	13776	1161.4401858304298
S0317	Female	40-49	4	4128	968.9922480620155
S0318	Male	40-49	10	7704	1298.0269989615786
S0319	Female	40-49	9	11859	758.9172780166962
S0320	Female	30-39	136	37234	3652.575602943546
S0321	Female	30-39	19	4643	4092.181779022184
S0322	Female	30-39	35	14694	2381.9245950728186
S0323	Female	30-39	10	6240	1602.5641025641025
S0324	Female	11-18	73	28467	2564.372782520111
S0325	Female	11-18	120	45925	2612.9559063690804
S0326	Male	19-29	131	95797	1367.474973120244
S0327	Female	70-79	51	28127	1813.2043943541792
S0328	Female	19-29	104	77855	1335.8165821077644
S0329	Female	50-59	42	32818	1279.7854835760863
S0330	Female	19-29	50	43009	1162.5473738054825
